,group,time,s_MP,change,type,p_MP,precursor_buy_cap_pct_change,precursor_ask_cap_pct_change,precursor_bid_vol_pct_change,precursor_ask_vol_pct_change,length,sum_change,max_surge_mp,min_surge_mp,max_precursor_mp,min_precursor_mp,area,surge_targets_met_pct,group,time,s_MP,change,type,p_MP,precursor_buy_cap_pct_change,precursor_ask_cap_pct_change,precursor_bid_vol_pct_change,precursor_ask_vol_pct_change,length,sum_change,max_surge_mp,min_surge_mp,max_precursor_mp,min_precursor_mp,area,surge_area,surge_targets_met_pct.1,label
0,2,1660221660224.0,30.0,-0.0005333888777246387,precursor,29.99,-0.012510265998810999,2.476865494149827e-06,-0.004203510128304555,0.0004653914287486849,6,-0.0048760167403275375,30.0,30.0,29.99,29.84,-0.029256100441965225,-0.033333333333338544,3,1660221842175.0,29.83,0.000837678233924466,surge,29.84,-0.012510265998810999,2.476865494149827e-06,-0.004203510128304555,0.0004653914287486849,1,0.000837678233924466,29.83,29.83,29.84,29.84,0.000837678233924466,0.000837678233924466,0.0335232986925966,0
1,4,1660221879008.0,29.83,-6.637374662955553e-05,precursor,29.88,0.0023215627869479505,-3.931131459000703e-05,0.0007748228535824353,-0.005160120381271893,1,-6.637374662955553e-05,29.83,29.83,29.88,29.88,-6.637374662955553e-05,0.16761649346295915,5,1660221932131.0,29.91,0.0013395064189182903,surge,29.88,0.0023215627869479505,-3.931131459000703e-05,0.0007748228535824353,-0.005160120381271893,2,0.0020083803838580883,29.92,29.91,29.88,29.88,0.0040167607677161765,0.0040167607677161765,-0.1336898395722015,0
2,6,1660222052656.0,29.92,-0.0006345915057230477,precursor,29.91,0.005933956466964041,-1.9346167640987844e-05,0.0021649491499190487,-0.0023200976618822367,3,-0.003946155980689048,29.92,29.92,29.91,29.84,-0.011838467942067145,-0.033422459893053355,7,1660222287714.0,29.81,0.0017450678389810737,surge,29.84,0.005933956466964041,-1.9346167640987844e-05,0.0021649491499190487,-0.0023200976618822367,2,0.002382380925067695,29.9,29.81,29.84,29.84,0.00476476185013539,0.00476476185013539,-0.20066889632106596,0
3,8,1660222444640.0,29.9,-0.0005020192514160083,precursor,29.91,-0.0028127458843951736,-9.85602270076047e-06,-0.0010126816444528952,-0.001814271273874346,1,-0.0005020192514160083,29.9,29.9,29.91,29.91,-0.0005020192514160083,0.033444816053516936,9,1660222544071.0,29.87,0.00077079943820626,surge,29.91,-0.0028127458843951736,-9.85602270076047e-06,-0.0010126816444528952,-0.001814271273874346,2,0.002109017363629806,29.91,29.87,29.91,29.91,0.004218034727259612,0.004218034727259612,0.0,0
4,10,1660222870555.0,29.91,-0.0014698405244980117,precursor,29.9,-0.0002111619918152563,6.103225189357797e-05,0.001178463783788053,0.012498680993223488,7,-0.01386899614207925,29.91,29.91,29.9,29.49,-0.09708297299455475,-0.03343363423604668,11,1660224452953.0,29.6,0.0035573360564951973,surge,29.49,-0.0002111619918152563,6.103225189357797e-05,0.001178463783788053,0.012498680993223488,2,0.004807153611202852,29.67,29.6,29.49,29.49,0.009614307222405704,0.009614307222405704,-0.6066734074823164,0
5,12,1660224759871.0,29.67,-0.0014494122831198442,precursor,29.68,0.012487704197842397,0.00011374364937610792,0.004405822517888458,0.015221065932444766,2,-0.0022883522620277706,29.67,29.67,29.68,29.53,-0.004576704524055541,0.0337040781934547,13,1660225517247.0,29.64,0.0031126500665812906,surge,29.53,0.012487704197842397,0.00011374364937610792,0.004405822517888458,0.015221065932444766,4,0.008126438351857456,29.8,29.64,29.53,29.53,0.032505753407429824,0.032505753407429824,-0.9060402684563744,0
6,14,1660227381035.0,29.8,-0.002811540293780257,precursor,29.9,-0.02171970324502226,-9.069844967535268e-05,-0.0047047789745934265,-0.002053565750768871,4,-0.024839556261147755,29.8,29.8,29.9,29.15,-0.09935822504459102,0.3355704697986506,15,1660229334206.0,29.19,0.006605582630406693,surge,29.15,-0.02171970324502226,-9.069844967535268e-05,-0.0047047789745934265,-0.002053565750768871,1,0.006605582630406693,29.19,29.19,29.15,29.15,0.006605582630406693,0.006605582630406693,-0.13703323055841965,0
7,16,1660230286165.0,29.19,-0.004266381828698184,precursor,29.27,0.012804480436113375,7.720654727594312e-05,0.004757210241492116,0.014550287400465045,2,-0.008199998858166292,29.19,29.19,29.27,29.05,-0.016399997716332583,0.274066461116815,17,1660231264438.0,29.06,0.0017250819601715595,surge,29.05,0.012804480436113375,7.720654727594312e-05,0.004757210241492116,0.014550287400465045,1,0.0017250819601715595,29.06,29.06,29.05,29.05,0.0017250819601715595,0.0017250819601715595,-0.03441156228492089,0
8,18,1660232037565.0,29.06,-0.00130342158704988,precursor,29.12,-0.012567607489636368,0.00012211934279360293,-0.0037964285239030504,0.018375671375130187,3,-0.008529103596585796,29.06,29.06,29.12,28.82,-0.025587310789757386,0.20646937370957424,19,1660234017135.0,28.8,0.0007278793000930706,surge,28.82,-0.012567607489636368,0.00012211934279360293,-0.0037964285239030504,0.018375671375130187,2,0.0032921897768834027,28.89,28.8,28.82,28.82,0.006584379553766805,0.006584379553766805,-0.2422983731394956,0
9,20,1660235901440.0,28.89,-0.002279447819189484,precursor,28.87,0.010862960716687464,4.255068309633181e-05,0.0037401242331958073,0.005522886227132595,1,-0.002279447819189484,28.89,28.89,28.87,28.87,-0.002279447819189484,-0.0692281066112827,21,1660236895412.0,28.94,0.004051957796011374,surge,28.87,0.010862960716687464,4.255068309633181e-05,0.0037401242331958073,0.005522886227132595,2,0.004949497562463168,29.01,28.94,28.87,28.87,0.009898995124926336,0.009898995124926336,-0.48259220958290444,0
10,22,1660239355990.0,29.01,-0.002479933404604473,precursor,28.95,-0.007453964100627264,0.00016884209824541418,-0.0015821951094867615,0.01954695157994668,3,-0.009908647011375005,29.01,29.01,28.95,28.89,-0.029725941034125014,-0.2068252326783946,23,1660242101768.0,28.67,0.0005736780523295182,surge,28.9,-0.007453964100627264,0.00016884209824541418,-0.0015821951094867615,0.01954695157994668,2,0.0038436845311527247,28.82,28.67,28.9,28.9,0.007687369062305449,0.007687369062305449,0.27758501040943195,0
11,24,1660244925555.0,28.82,-0.0007952831855920662,precursor,28.8,-0.008684103965744816,2.205774722074949e-05,-0.002917736288949979,0.003022004378335552,1,-0.0007952831855920662,28.82,28.82,28.8,28.8,-0.0007952831855920662,-0.06939625260235799,25,1660246948876.0,28.88,0.002569148622362005,surge,28.8,-0.008684103965744816,2.205774722074949e-05,-0.002917736288949979,0.003022004378335552,1,0.002569148622362005,28.88,28.88,28.8,28.8,0.002569148622362005,0.002569148622362005,-0.27700831024930156,0
12,26,1660248398695.0,28.88,-0.0023525233837522032,precursor,28.84,0.21917646562408066,0.002026055043408803,0.06603839365949815,0.35649785263497447,1,-0.0023525233837522032,28.88,28.88,28.84,28.84,-0.0023525233837522032,-0.13850415512465078,27,1660249898384.0,28.89,0.003435936872064249,surge,28.84,0.21917646562408066,0.002026055043408803,0.06603839365949815,0.35649785263497447,1,0.003435936872064249,28.89,28.89,28.84,28.84,0.003435936872064249,0.003435936872064249,-0.17307026652821292,0
13,28,1660252403590.0,28.89,-0.0009658471356129295,precursor,28.95,-0.010099055965308912,-5.566947726876048e-05,-0.004060511257454658,-0.0032041955303426795,1,-0.0009658471356129295,28.89,28.89,28.95,28.95,-0.0009658471356129295,0.2076843198338481,29,1660254252690.0,28.81,0.0014292964203433955,surge,28.95,-0.010099055965308912,-5.566947726876048e-05,-0.004060511257454658,-0.0032041955303426795,2,0.005190323277271191,29.11,28.81,28.95,28.95,0.010380646554542383,0.010380646554542383,-0.5496392992098941,0
14,30,1660257296327.0,29.11,-0.003132117912295884,precursor,29.05,-0.07196987690377155,0.00022690120909507616,-0.022461937954586286,0.03705258619013907,4,-0.022347032807461496,29.11,29.11,29.05,28.57,-0.08938813122984599,-0.20611473720370566,31,1660265497575.0,28.58,0.009533538260327323,surge,28.57,-0.07196987690377155,0.00022690120909507616,-0.022461937954586286,0.03705258619013907,2,0.012607226151261142,28.82,28.58,28.57,28.57,0.025214452302522283,0.025214452302522283,-0.8674531575294934,0
15,32,1660269160159.0,28.82,-0.0014236846063463537,precursor,28.74,0.06433812196668609,0.0012449376816097146,0.022006026146211166,0.18578894036937044,1,-0.0014236846063463537,28.82,28.82,28.74,28.74,-0.0014236846063463537,-0.2775850104094443,33,1660271992978.0,28.98,0.01394072758303977,surge,28.74,0.06433812196668609,0.0012449376816097146,0.022006026146211166,0.18578894036937044,1,0.01394072758303977,28.98,28.98,28.74,28.74,0.01394072758303977,0.01394072758303977,-0.8281573498964871,0
16,34,1660274491455.0,28.98,-0.0036679443002095467,precursor,29.14,0.00625200849084151,-5.189592210641525e-05,0.002031518584292513,-0.005497149043775407,3,-0.007734351150299068,28.98,28.98,29.14,28.91,-0.023203053450897203,0.5521048999309873,35,1660281665388.0,28.94,0.0008656871500005603,surge,28.91,0.00625200849084151,-5.189592210641525e-05,0.002031518584292513,-0.005497149043775407,1,0.0008656871500005603,28.94,28.94,28.91,28.91,0.0008656871500005603,0.0008656871500005603,-0.10366275051831768,0
17,36,1660284065436.0,28.94,-0.001624241623011291,precursor,28.95,-0.006657934184293723,7.384429980827889e-07,-0.0011569761910289467,0.0009794032249995643,2,-0.005080618171954587,28.94,28.94,28.95,28.87,-0.010161236343909174,0.034554250172764374,37,1660288812672.0,28.74,0.0016367881545020335,surge,28.87,-0.006657934184293723,7.384429980827889e-07,-0.0011569761910289467,0.0009794032249995643,3,0.008466792010841351,29.06,28.74,28.87,28.87,0.025400376032524055,0.025400376032524055,-0.6538196834136192,0
